above;adhik;This is too much;यह बहुत अधिक है
accurate;satik;That was an accurate attack;वह सटीक वार था
addend;yojya
addition;yog
add;jodna;It's easy to add this;यह जोड़ना आसान है
after;bad;Do it after studying;अध्ययन के बाद करो
afternoon;dopahara
alike;tulya
all;sab
almost;kamobesh
amount;matra
angle;kon;Angle is 180;कोण 180 है
answer;uttar;Please give answer;कृपया उत्तर दें
application;anuparyog
apply;lagou
approach;phauchna
arc;chap;Make an arc;एक चाप बनाओ
area;kshetraphal;Area of rectangle;आयत का क्षेत्रफल
argument;tark;He gave nice argument;उसने अच्छा तर्क दिया
arrange;vyavastith;Please arrange it;कृपया इसे व्यवस्थित करें
array;sarani
attribute;guun
autumn;sharad;Autumn has come;शरद ऋतु आ गया है
average;ausat;His average marks are good;उनके औसत अंक अच्छे हैं
axis;aksh
base;aadhar;This is the base area;यह आधार क्षेत्र है
before;aage
below;neeche;Cat is below the table;बिल्ली टेबल के नीचे है
beside;bagal;He sits beside me;वह मेरे बगल में बैठता है
between;beech;He sits in between us;वह हमारे बीच में बैठता है
big;bada;He is a big boy;वह एक बड़ा लड़का है
bisect;dvibhajit
calculate;ganana;Calculate the sum;योग की गणना करें
capacity;kshmata;His capacity is less;उनकी क्षमता कम है
cent;sht
chance;avasar
charts;manchitra
circle;vartul
circumference;paridhi;Please calculate circumference;कृपया परिधि की गणना करें
clarify;samazaana
closed;band;This box is closed;यह बॉक्स बंद है
coin;sikka;This is a coin;यह एक सिक्का है
collaborate;sahayog
collection;sanchayana
common;ubhayanishtha
compare;tulana;Don't compare with me;मेरे साथ तुलना मत करो
compensation;pratikaran
conclusion;parinam;This is the conclusion;यह परिणाम है
concrete;murt
cone;shanku;This is a cone;यह एक शंकु है
congruent;sarwagsam
consecutive;krmaagat
constant;achr
construct;rachna
contrast;vishamata
conversion;roopantaran
convert;badalna
coordinate;nirdeshank
corner;kona
corresponding;sngat
counter;prati
count;ginati
cube;ghan;I like cube;मुझे घन पसंद है
